#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	W	W_MIN	W_MAX
422450	2011-01-14 00:00:00	2011	2011	1	91	91	96
422450	2011-01-15 00:00:00	2011	2011	1	78	78	78
422450	2011-01-16 00:00:00	2011	2011	1	63	63	63
422450	2011-01-17 00:00:00	2011	2011	1	53	53	53
422450	2011-01-18 00:00:00	2011	2011	1	48	48	48
422450	2011-01-19 00:00:00	2011	2011	1	45	45	45
422450	2011-01-20 00:00:00	2011	2011	1	42	42	42
422450	2011-01-21 00:00:00	2011	2011	1	39	39	39
422450	2011-01-22 00:00:00	2011	2011	1	36	36	36
422450	2011-01-23 00:00:00	2011	2011	1	34	34	34
422450	2011-01-24 00:00:00	2011	2011	1	32	32	32
422450	2011-01-25 00:00:00	2011	2011	1	30	30	30
422450	2011-01-26 00:00:00	2011	2011	1	29	29	29
422450	2011-01-27 00:00:00	2011	2011	1	27	27	27
422450	2011-01-28 00:00:00	2011	2011	1	25	25	25
422450	2011-01-29 00:00:00	2011	2011	1	22	22	22
422450	2011-01-30 00:00:00	2011	2011	1	22	22	22
422450	2011-01-31 00:00:00	2011	2011	1	21	21	21
422450	2011-02-01 00:00:00	2011	2011	2	21	21	21
422450	2011-02-02 00:00:00	2011	2011	2	20	20	20
422450	2011-02-03 00:00:00	2011	2011	2	20	20	20
422450	2011-02-04 00:00:00	2011	2011	2	20	20	20
422450	2011-02-05 00:00:00	2011	2011	2	22	22	22
422450	2011-02-06 00:00:00	2011	2011	2	28	28	28
422450	2011-02-07 00:00:00	2011	2011	2	32	32	32
422450	2011-02-08 00:00:00	2011	2011	2	32	32	32
422450	2011-02-09 00:00:00	2011	2011	2	31	31	31
422450	2011-02-10 00:00:00	2011	2011	2	30	30	30
422450	2011-02-11 00:00:00	2011	2011	2	34	34	34
422450	2011-02-12 00:00:00	2011	2011	2	39	39	39
422450	2011-02-13 00:00:00	2011	2011	2	38	38	38
422450	2011-02-14 00:00:00	2011	2011	2	36	36	36
422450	2011-02-15 00:00:00	2011	2011	2	34	34	34
422450	2011-02-16 00:00:00	2011	2011	2	32	32	32
422450	2011-02-17 00:00:00	2011	2011	2	29	29	29
422450	2011-02-18 00:00:00	2011	2011	2	28	28	28
422450	2011-02-19 00:00:00	2011	2011	2	27	27	27
422450	2011-02-20 00:00:00	2011	2011	2	25	25	25
422450	2011-02-21 00:00:00	2011	2011	2	23	23	23
422450	2011-02-22 00:00:00	2011	2011	2	22	22	22
422450	2011-02-23 00:00:00	2011	2011	2	21	21	21
422450	2011-02-24 00:00:00	2011	2011	2	20	20	20
422450	2011-02-25 00:00:00	2011	2011	2	20	20	20
422450	2011-02-26 00:00:00	2011	2011	2	19	19	19
422450	2011-02-27 00:00:00	2011	2011	2	18	18	18
422450	2011-02-28 00:00:00	2011	2011	2	18	18	18
422450	2011-03-01 00:00:00	2011	2011	3	18	18	18
422450	2011-03-02 00:00:00	2011	2011	3	18	18	18
422450	2011-03-03 00:00:00	2011	2011	3	17	17	17
422450	2011-03-04 00:00:00	2011	2011	3	17	17	17
422450	2011-03-05 00:00:00	2011	2011	3	17	17	17
422450	2011-03-06 00:00:00	2011	2011	3	16	16	16
422450	2011-03-07 00:00:00	2011	2011	3	16	16	16
422450	2011-03-08 00:00:00	2011	2011	3	15	15	15
422450	2011-03-09 00:00:00	2011	2011	3	15	15	15
422450	2011-03-10 00:00:00	2011	2011	3	15	15	15
422450	2011-03-11 00:00:00	2011	2011	3	16	16	16
422450	2011-03-12 00:00:00	2011	2011	3	16	16	16
422450	2011-03-13 00:00:00	2011	2011	3	17	17	17
422450	2011-03-14 00:00:00	2011	2011	3	20	20	20
422450	2011-03-15 00:00:00	2011	2011	3	28	28	28
422450	2011-03-16 00:00:00	2011	2011	3	37	37	37
422450	2011-03-17 00:00:00	2011	2011	3	40	40	41
422450	2011-03-18 00:00:00	2011	2011	3	41	41	41
422450	2011-03-19 00:00:00	2011	2011	3	40	40	40
422450	2011-03-20 00:00:00	2011	2011	3	37	37	37
422450	2011-03-21 00:00:00	2011	2011	3	34	34	34
422450	2011-03-22 00:00:00	2011	2011	3	31	31	31
422450	2011-03-23 00:00:00	2011	2011	3	30	30	30
422450	2011-03-24 00:00:00	2011	2011	3	29	29	29
422450	2011-03-25 00:00:00	2011	2011	3	29	29	29
422450	2011-03-26 00:00:00	2011	2011	3	29	29	29
422450	2011-03-27 00:00:00	2011	2011	3	30	30	30
422450	2011-03-28 00:00:00	2011	2011	3	28	28	28
422450	2011-03-29 00:00:00	2011	2011	3	27	27	27
422450	2011-03-30 00:00:00	2011	2011	3	26	26	26
422450	2011-03-31 00:00:00	2011	2011	3	26	26	26
422450	2011-04-01 00:00:00	2011	2011	4	29	29	29
422450	2011-04-02 00:00:00	2011	2011	4	30	30	30
422450	2011-04-03 00:00:00	2011	2011	4	30	30	30
422450	2011-04-04 00:00:00	2011	2011	4	30	30	31
422450	2011-04-05 00:00:00	2011	2011	4	28	28	28
422450	2011-04-06 00:00:00	2011	2011	4	26	26	26
422450	2011-04-07 00:00:00	2011	2011	4	25	25	25
422450	2011-04-08 00:00:00	2011	2011	4	23	23	23
422450	2011-04-09 00:00:00	2011	2011	4	21	21	21
422450	2011-04-10 00:00:00	2011	2011	4	20	20	20
422450	2011-04-11 00:00:00	2011	2011	4	19	19	19
422450	2011-04-12 00:00:00	2011	2011	4	19	19	19
422450	2011-04-13 00:00:00	2011	2011	4	18	18	18
422450	2011-04-14 00:00:00	2011	2011	4	17	17	17
422450	2011-04-15 00:00:00	2011	2011	4	16	16	16
422450	2011-04-16 00:00:00	2011	2011	4	16	16	16
422450	2011-04-17 00:00:00	2011	2011	4	16	16	16
422450	2011-04-18 00:00:00	2011	2011	4	16	16	16
422450	2011-04-19 00:00:00	2011	2011	4	15	15	15
422450	2011-04-20 00:00:00	2011	2011	4	15	15	15
422450	2011-04-21 00:00:00	2011	2011	4	15	15	15
422450	2011-04-22 00:00:00	2011	2011	4	14	14	14
422450	2011-04-23 00:00:00	2011	2011	4	14	14	14
422450	2011-04-24 00:00:00	2011	2011	4	14	14	14
422450	2011-04-25 00:00:00	2011	2011	4	14	14	14
422450	2011-04-26 00:00:00	2011	2011	4	14	14	14
422450	2011-04-27 00:00:00	2011	2011	4	14	14	14
422450	2011-04-28 00:00:00	2011	2011	4	14	14	14
422450	2011-04-29 00:00:00	2011	2011	4	14	14	14
422450	2011-04-30 00:00:00	2011	2011	4	13	13	13
422450	2011-05-01 00:00:00	2011	2011	5	13	13	13
422450	2011-05-02 00:00:00	2011	2011	5	13	13	13
422450	2011-05-03 00:00:00	2011	2011	5	13	13	15
422450	2011-05-04 00:00:00	2011	2011	5	13	13	13
422450	2011-05-05 00:00:00	2011	2011	5	12	12	12
422450	2011-05-06 00:00:00	2011	2011	5	12	12	12
422450	2011-05-07 00:00:00	2011	2011	5	12	12	12
422450	2011-05-08 00:00:00	2011	2011	5	12	12	12
422450	2011-05-09 00:00:00	2011	2011	5	12	12	12
422450	2011-05-10 00:00:00	2011	2011	5	12	12	12
422450	2011-05-11 00:00:00	2011	2011	5	12	12	12
422450	2011-05-12 00:00:00	2011	2011	5	12	12	12
422450	2011-05-13 00:00:00	2011	2011	5	12	12	12
422450	2011-05-14 00:00:00	2011	2011	5	12	12	12
422450	2011-05-15 00:00:00	2011	2011	5	12	12	12
422450	2011-05-16 00:00:00	2011	2011	5	12	12	12
422450	2011-05-17 00:00:00	2011	2011	5	12	12	12
422450	2011-05-18 00:00:00	2011	2011	5	12	12	12
422450	2011-05-19 00:00:00	2011	2011	5	12	12	12
422450	2011-05-20 00:00:00	2011	2011	5	12	12	12
422450	2011-05-21 00:00:00	2011	2011	5	11	11	11
422450	2011-05-22 00:00:00	2011	2011	5	11	11	11
422450	2011-05-23 00:00:00	2011	2011	5	12	12	12
422450	2011-05-24 00:00:00	2011	2011	5	11	11	11
422450	2011-05-25 00:00:00	2011	2011	5	11	11	11
422450	2011-05-26 00:00:00	2011	2011	5	11	11	11
422450	2011-05-27 00:00:00	2011	2011	5	11	11	11
422450	2011-05-28 00:00:00	2011	2011	5	10	10	10
422450	2011-05-29 00:00:00	2011	2011	5	10	10	10
422450	2011-05-30 00:00:00	2011	2011	5	10	10	10
422450	2011-05-31 00:00:00	2011	2011	5	10	10	10
422450	2011-06-01 00:00:00	2011	2011	6	10	10	10
422450	2011-06-02 00:00:00	2011	2011	6	10	10	10
422450	2011-06-03 00:00:00	2011	2011	6	9	9	9
422450	2011-06-04 00:00:00	2011	2011	6	9	9	9
422450	2011-06-05 00:00:00	2011	2011	6	11	11	11
422450	2011-06-06 00:00:00	2011	2011	6	15	15	30
422450	2011-06-07 00:00:00	2011	2011	6	14	14	14
422450	2011-06-08 00:00:00	2011	2011	6	14	14	14
422450	2011-06-09 00:00:00	2011	2011	6	13	13	13
422450	2011-06-10 00:00:00	2011	2011	6	12	12	12
422450	2011-06-11 00:00:00	2011	2011	6	12	12	12
422450	2011-06-12 00:00:00	2011	2011	6	12	12	12
422450	2011-06-13 00:00:00	2011	2011	6	12	12	12
422450	2011-06-14 00:00:00	2011	2011	6	12	12	12
422450	2011-06-15 00:00:00	2011	2011	6	12	12	12
422450	2011-06-16 00:00:00	2011	2011	6	12	12	12
422450	2011-06-17 00:00:00	2011	2011	6	12	12	12
422450	2011-06-18 00:00:00	2011	2011	6	13	13	13
422450	2011-06-19 00:00:00	2011	2011	6	13	13	13
422450	2011-06-20 00:00:00	2011	2011	6	13	13	13
422450	2011-06-21 00:00:00	2011	2011	6	17	17	17
422450	2011-06-22 00:00:00	2011	2011	6	18	18	18
422450	2011-06-23 00:00:00	2011	2011	6	17	17	17
422450	2011-06-24 00:00:00	2011	2011	6	16	16	16
422450	2011-06-25 00:00:00	2011	2011	6	15	15	15
422450	2011-06-26 00:00:00	2011	2011	6	15	15	15
422450	2011-06-27 00:00:00	2011	2011	6	15	15	15
422450	2011-06-28 00:00:00	2011	2011	6	14	14	14
422450	2011-06-29 00:00:00	2011	2011	6	15	15	15
422450	2011-06-30 00:00:00	2011	2011	6	18	18	18
422450	2011-07-01 00:00:00	2011	2011	7	18	18	18
422450	2011-07-02 00:00:00	2011	2011	7	18	18	18
422450	2011-07-03 00:00:00	2011	2011	7	20	20	20
422450	2011-07-04 00:00:00	2011	2011	7	20	20	20
422450	2011-07-05 00:00:00	2011	2011	7	19	19	19
422450	2011-07-06 00:00:00	2011	2011	7	18	18	18
422450	2011-07-07 00:00:00	2011	2011	7	19	19	23
422450	2011-07-08 00:00:00	2011	2011	7	20	20	20
422450	2011-07-09 00:00:00	2011	2011	7	18	18	18
422450	2011-07-10 00:00:00	2011	2011	7	18	18	18
422450	2011-07-11 00:00:00	2011	2011	7	17	17	17
422450	2011-07-12 00:00:00	2011	2011	7	17	17	17
422450	2011-07-13 00:00:00	2011	2011	7	16	16	16
422450	2011-07-14 00:00:00	2011	2011	7	19	19	19
422450	2011-07-15 00:00:00	2011	2011	7	17	17	17
422450	2011-07-16 00:00:00	2011	2011	7	16	16	16
422450	2011-07-17 00:00:00	2011	2011	7	16	16	16
422450	2011-07-18 00:00:00	2011	2011	7	17	17	17
422450	2011-07-19 00:00:00	2011	2011	7	16	16	16
422450	2011-07-20 00:00:00	2011	2011	7	16	16	16
422450	2011-07-21 00:00:00	2011	2011	7	16	16	16
422450	2011-07-22 00:00:00	2011	2011	7	16	16	16
422450	2011-07-23 00:00:00	2011	2011	7	16	16	16
422450	2011-07-24 00:00:00	2011	2011	7	16	16	16
422450	2011-07-25 00:00:00	2011	2011	7	15	15	15
422450	2011-07-26 00:00:00	2011	2011	7	15	15	15
422450	2011-07-27 00:00:00	2011	2011	7	14	14	14
422450	2011-07-28 00:00:00	2011	2011	7	14	14	14
422450	2011-07-29 00:00:00	2011	2011	7	14	14	14
422450	2011-07-30 00:00:00	2011	2011	7	13	13	13
422450	2011-07-31 00:00:00	2011	2011	7	13	13	13
422450	2011-08-01 00:00:00	2011	2011	8	13	13	13
422450	2011-08-02 00:00:00	2011	2011	8	13	13	13
422450	2011-08-03 00:00:00	2011	2011	8	13	13	13
422450	2011-08-04 00:00:00	2011	2011	8	13	13	13
422450	2011-08-05 00:00:00	2011	2011	8	14	14	14
422450	2011-08-06 00:00:00	2011	2011	8	14	14	14
422450	2011-08-07 00:00:00	2011	2011	8	17	17	17
422450	2011-08-08 00:00:00	2011	2011	8	16	16	16
422450	2011-08-09 00:00:00	2011	2011	8	18	18	18
422450	2011-08-10 00:00:00	2011	2011	8	18	18	18
422450	2011-08-11 00:00:00	2011	2011	8	17	17	17
422450	2011-08-12 00:00:00	2011	2011	8	17	17	17
422450	2011-08-13 00:00:00	2011	2011	8	17	17	17
422450	2011-08-14 00:00:00	2011	2011	8	19	19	19
422450	2011-08-15 00:00:00	2011	2011	8	18	18	18
422450	2011-08-16 00:00:00	2011	2011	8	17	17	17
422450	2011-08-17 00:00:00	2011	2011	8	17	17	17
422450	2011-08-18 00:00:00	2011	2011	8	17	17	17
422450	2011-08-19 00:00:00	2011	2011	8	18	18	23
422450	2011-08-20 00:00:00	2011	2011	8	17	17	17
422450	2011-08-21 00:00:00	2011	2011	8	17	17	17
422450	2011-08-22 00:00:00	2011	2011	8	17	17	17
422450	2011-08-23 00:00:00	2011	2011	8	16	16	16
422450	2011-08-24 00:00:00	2011	2011	8	17	17	17
422450	2011-08-25 00:00:00	2011	2011	8	17	17	17
422450	2011-08-26 00:00:00	2011	2011	8	17	17	17
422450	2011-08-27 00:00:00	2011	2011	8	18	18	18
422450	2011-08-28 00:00:00	2011	2011	8	18	18	18
422450	2011-08-29 00:00:00	2011	2011	8	18	18	18
422450	2011-08-30 00:00:00	2011	2011	8	17	17	17
422450	2011-08-31 00:00:00	2011	2011	8	17	17	17
422450	2011-09-01 00:00:00	2011	2011	9	16	16	16
422450	2011-09-02 00:00:00	2011	2011	9	16	16	16
422450	2011-09-03 00:00:00	2011	2011	9	15	15	15
422450	2011-09-04 00:00:00	2011	2011	9	15	15	15
422450	2011-09-05 00:00:00	2011	2011	9	16	16	16
422450	2011-09-06 00:00:00	2011	2011	9	15	15	15
422450	2011-09-07 00:00:00	2011	2011	9	15	15	15
422450	2011-09-08 00:00:00	2011	2011	9	16	16	16
422450	2011-09-09 00:00:00	2011	2011	9	17	17	17
422450	2011-09-10 00:00:00	2011	2011	9	16	16	16
422450	2011-09-11 00:00:00	2011	2011	9	16	16	16
422450	2011-09-12 00:00:00	2011	2011	9	17	17	17
422450	2011-09-13 00:00:00	2011	2011	9	17	17	17
422450	2011-09-14 00:00:00	2011	2011	9	16	16	16
422450	2011-09-15 00:00:00	2011	2011	9	16	16	16
422450	2011-09-16 00:00:00	2011	2011	9	16	16	16
422450	2011-09-17 00:00:00	2011	2011	9	16	16	16
422450	2011-09-18 00:00:00	2011	2011	9	17	17	18
422450	2011-09-19 00:00:00	2011	2011	9	17	17	17
422450	2011-09-20 00:00:00	2011	2011	9	17	17	17
422450	2011-09-21 00:00:00	2011	2011	9	16	16	16
422450	2011-09-22 00:00:00	2011	2011	9	16	16	16
422450	2011-09-23 00:00:00	2011	2011	9	16	16	16
422450	2011-09-24 00:00:00	2011	2011	9	16	16	16
422450	2011-09-25 00:00:00	2011	2011	9	15	15	15
422450	2011-09-26 00:00:00	2011	2011	9	15	15	15
422450	2011-09-27 00:00:00	2011	2011	9	15	15	15
422450	2011-09-28 00:00:00	2011	2011	9	14	14	14
422450	2011-09-29 00:00:00	2011	2011	9	14	14	14
422450	2011-09-30 00:00:00	2011	2011	9	14	14	14
422450	2011-10-01 00:00:00	2011	2011	10	13	13	13
422450	2011-10-02 00:00:00	2011	2011	10	13	13	13
422450	2011-10-03 00:00:00	2011	2011	10	13	13	13
422450	2011-10-04 00:00:00	2011	2011	10	13	13	13
422450	2011-10-05 00:00:00	2011	2011	10	13	13	13
422450	2011-10-06 00:00:00	2011	2011	10	13	13	13
422450	2011-10-07 00:00:00	2011	2011	10	14	14	14
422450	2011-10-08 00:00:00	2011	2011	10	16	16	16
422450	2011-10-09 00:00:00	2011	2011	10	15	15	15
422450	2011-10-10 00:00:00	2011	2011	10	16	16	16
422450	2011-10-11 00:00:00	2011	2011	10	18	18	18
422450	2011-10-12 00:00:00	2011	2011	10	25	25	25
422450	2011-10-13 00:00:00	2011	2011	10	27	27	29
422450	2011-10-14 00:00:00	2011	2011	10	25	25	25
422450	2011-10-15 00:00:00	2011	2011	10	23	23	23
422450	2011-10-16 00:00:00	2011	2011	10	23	23	23
422450	2011-10-17 00:00:00	2011	2011	10	21	21	21
422450	2011-10-18 00:00:00	2011	2011	10	21	21	21
422450	2011-10-19 00:00:00	2011	2011	10	20	20	20
422450	2011-10-20 00:00:00	2011	2011	10	20	20	20
422450	2011-10-21 00:00:00	2011	2011	10	19	19	19
422450	2011-10-22 00:00:00	2011	2011	10	18	18	18
422450	2011-10-23 00:00:00	2011	2011	10	18	18	18
422450	2011-10-24 00:00:00	2011	2011	10	17	17	17
422450	2011-10-25 00:00:00	2011	2011	10	17	17	17
422450	2011-10-26 00:00:00	2011	2011	10	17	17	17
422450	2011-10-27 00:00:00	2011	2011	10	16	16	16
422450	2011-10-28 00:00:00	2011	2011	10	16	16	16
422450	2011-10-29 00:00:00	2011	2011	10	16	16	16
422450	2011-10-30 00:00:00	2011	2011	10	16	16	16
422450	2011-10-31 00:00:00	2011	2011	10	16	16	16
422450	2011-11-01 00:00:00	2011	2012	11	16	16	16
422450	2011-11-02 00:00:00	2011	2012	11	16	16	16
422450	2011-11-03 00:00:00	2011	2012	11	16	16	16
422450	2011-11-04 00:00:00	2011	2012	11	16	16	16
422450	2011-11-05 00:00:00	2011	2012	11	16	16	16
422450	2011-11-06 00:00:00	2011	2012	11	15	15	15
422450	2011-11-07 00:00:00	2011	2012	11	15	15	15
422450	2011-11-08 00:00:00	2011	2012	11	15	15	15
422450	2011-11-09 00:00:00	2011	2012	11	14	14	14
422450	2011-11-10 00:00:00	2011	2012	11	14	14	14
422450	2011-11-11 00:00:00	2011	2012	11	14	14	14
422450	2011-11-12 00:00:00	2011	2012	11	14	14	14
422450	2011-11-13 00:00:00	2011	2012	11	13	13	13
422450	2011-11-14 00:00:00	2011	2012	11	13	13	13
422450	2011-11-15 00:00:00	2011	2012	11	13	13	13
422450	2011-11-16 00:00:00	2011	2012	11	13	13	13
422450	2011-11-17 00:00:00	2011	2012	11	13	13	13
422450	2011-11-18 00:00:00	2011	2012	11	13	13	13
422450	2011-11-19 00:00:00	2011	2012	11	13	13	13
422450	2011-11-20 00:00:00	2011	2012	11	13	13	13
422450	2011-11-21 00:00:00	2011	2012	11	13	13	13
422450	2011-11-22 00:00:00	2011	2012	11	13	13	13
422450	2011-11-23 00:00:00	2011	2012	11	13	13	13
422450	2011-11-24 00:00:00	2011	2012	11	13	13	13
422450	2011-11-25 00:00:00	2011	2012	11	13	13	13
422450	2011-11-26 00:00:00	2011	2012	11	12	12	12
422450	2011-11-27 00:00:00	2011	2012	11	12	12	12
422450	2011-11-28 00:00:00	2011	2012	11	12	12	12
422450	2011-11-29 00:00:00	2011	2012	11	12	12	12
422450	2011-11-30 00:00:00	2011	2012	11	12	12	12
422450	2011-12-01 00:00:00	2011	2012	12	12	12	12
422450	2011-12-02 00:00:00	2011	2012	12	12	12	12
422450	2011-12-03 00:00:00	2011	2012	12	12	12	12
422450	2011-12-04 00:00:00	2011	2012	12	14	14	14
422450	2011-12-05 00:00:00	2011	2012	12	17	17	17
422450	2011-12-06 00:00:00	2011	2012	12	15	15	15
422450	2011-12-07 00:00:00	2011	2012	12	14	14	14
422450	2011-12-08 00:00:00	2011	2012	12	14	14	14
422450	2011-12-09 00:00:00	2011	2012	12	19	19	19
422450	2011-12-10 00:00:00	2011	2012	12	20	20	20
422450	2011-12-11 00:00:00	2011	2012	12	19	19	19
422450	2011-12-12 00:00:00	2011	2012	12	19	19	19
422450	2011-12-13 00:00:00	2011	2012	12	21	21	21
422450	2011-12-14 00:00:00	2011	2012	12	27	27	27
422450	2011-12-15 00:00:00	2011	2012	12	30	30	30
422450	2011-12-16 00:00:00	2011	2012	12	33	33	33
422450	2011-12-17 00:00:00	2011	2012	12	37	37	37
422450	2011-12-18 00:00:00	2011	2012	12	33	33	33
422450	2011-12-19 00:00:00	2011	2012	12	29	29	29
422450	2011-12-20 00:00:00	2011	2012	12	26	26	26
422450	2011-12-21 00:00:00	2011	2012	12	24	24	24
422450	2011-12-22 00:00:00	2011	2012	12	23	23	23
422450	2011-12-23 00:00:00	2011	2012	12	25	25	25
422450	2011-12-24 00:00:00	2011	2012	12	36	36	36
422450	2011-12-25 00:00:00	2011	2012	12	37	37	37
422450	2011-12-26 00:00:00	2011	2012	12	38	38	38
422450	2011-12-27 00:00:00	2011	2012	12	41	41	44
422450	2011-12-28 00:00:00	2011	2012	12	42	42	42
422450	2011-12-29 00:00:00	2011	2012	12	38	38	38
422450	2011-12-30 00:00:00	2011	2012	12	35	35	35
422450	2011-12-31 00:00:00	2011	2012	12	31	31	31
422450	2012-01-01 00:00:00	2012	2012	1	34	34	34
422450	2012-01-02 00:00:00	2012	2012	1	61	61	70
422450	2012-01-03 00:00:00	2012	2012	1	59	59	59
422450	2012-01-04 00:00:00	2012	2012	1	48	48	48
422450	2012-01-05 00:00:00	2012	2012	1	43	43	43
422450	2012-01-06 00:00:00	2012	2012	1	39	39	39
422450	2012-01-07 00:00:00	2012	2012	1	37	37	37
422450	2012-01-08 00:00:00	2012	2012	1	35	35	35
422450	2012-01-09 00:00:00	2012	2012	1	34	34	34
422450	2012-01-10 00:00:00	2012	2012	1	35	35	35
422450	2012-01-11 00:00:00	2012	2012	1	35	35	35
422450	2012-01-12 00:00:00	2012	2012	1	37	37	37
422450	2012-01-13 00:00:00	2012	2012	1	40	40	40
422450	2012-01-14 00:00:00	2012	2012	1	38	38	38
422450	2012-01-15 00:00:00	2012	2012	1	35	35	35
422450	2012-01-16 00:00:00	2012	2012	1	32	32	32
422450	2012-01-17 00:00:00	2012	2012	1	29	29	29
422450	2012-01-18 00:00:00	2012	2012	1	27	27	27
422450	2012-01-19 00:00:00	2012	2012	1	30	30	30
422450	2012-01-20 00:00:00	2012	2012	1	34	34	34
422450	2012-01-21 00:00:00	2012	2012	1	33	33	33
422450	2012-01-22 00:00:00	2012	2012	1	35	35	35
422450	2012-01-23 00:00:00	2012	2012	1	34	34	34
422450	2012-01-24 00:00:00	2012	2012	1	32	32	32
422450	2012-01-25 00:00:00	2012	2012	1	30	30	30
422450	2012-01-26 00:00:00	2012	2012	1	28	28	28
422450	2012-01-27 00:00:00	2012	2012	1	26	26	26
422450	2012-01-28 00:00:00	2012	2012	1	25	25	25
422450	2012-01-29 00:00:00	2012	2012	1	23	23	23
422450	2012-01-30 00:00:00	2012	2012	1	22	22	22
422450	2012-01-31 00:00:00	2012	2012	1	21	21	21
422450	2012-02-01 00:00:00	2012	2012	2	20	20	20
422450	2012-02-02 00:00:00	2012	2012	2	20	20	20
422450	2012-02-03 00:00:00	2012	2012	2	21	21	21
422450	2012-02-04 00:00:00	2012	2012	2	20	20	20
422450	2012-02-05 00:00:00	2012	2012	2	20	20	20
422450	2012-02-06 00:00:00	2012	2012	2	20	20	20
422450	2012-02-07 00:00:00	2012	2012	2	19	19	19
422450	2012-02-08 00:00:00	2012	2012	2	19	19	19
422450	2012-02-09 00:00:00	2012	2012	2	18	18	18
422450	2012-02-10 00:00:00	2012	2012	2	17	17	17
422450	2012-02-11 00:00:00	2012	2012	2	17	17	17
422450	2012-02-12 00:00:00	2012	2012	2	17	17	17
422450	2012-02-13 00:00:00	2012	2012	2	17	17	17
422450	2012-02-14 00:00:00	2012	2012	2	17	17	17
422450	2012-02-15 00:00:00	2012	2012	2	17	17	17
422450	2012-02-16 00:00:00	2012	2012	2	17	17	17
422450	2012-02-17 00:00:00	2012	2012	2	17	17	17
422450	2012-02-18 00:00:00	2012	2012	2	17	17	17
422450	2012-02-19 00:00:00	2012	2012	2	20	20	20
422450	2012-02-20 00:00:00	2012	2012	2	19	19	19
422450	2012-02-21 00:00:00	2012	2012	2	18	18	18
422450	2012-02-22 00:00:00	2012	2012	2	18	18	18
422450	2012-02-23 00:00:00	2012	2012	2	18	18	18
422450	2012-02-24 00:00:00	2012	2012	2	20	20	20
422450	2012-02-25 00:00:00	2012	2012	2	25	25	25
422450	2012-02-26 00:00:00	2012	2012	2	26	26	26
422450	2012-02-27 00:00:00	2012	2012	2	26	26	26
422450	2012-02-28 00:00:00	2012	2012	2	26	26	26
422450	2012-02-29 00:00:00	2012	2012	2	30	30	33
422450	2012-03-01 00:00:00	2012	2012	3	33	33	33
422450	2012-03-02 00:00:00	2012	2012	3	37	37	39
422450	2012-03-03 00:00:00	2012	2012	3	39	39	39
422450	2012-03-04 00:00:00	2012	2012	3	39	39	39
422450	2012-03-05 00:00:00	2012	2012	3	37	37	37
422450	2012-03-06 00:00:00	2012	2012	3	35	35	35
422450	2012-03-07 00:00:00	2012	2012	3	33	33	33
422450	2012-03-08 00:00:00	2012	2012	3	31	31	31
422450	2012-03-09 00:00:00	2012	2012	3	29	29	29
422450	2012-03-10 00:00:00	2012	2012	3	28	28	28
422450	2012-03-11 00:00:00	2012	2012	3	27	27	27
422450	2012-03-12 00:00:00	2012	2012	3	29	29	29
422450	2012-03-13 00:00:00	2012	2012	3	31	31	31
422450	2012-03-14 00:00:00	2012	2012	3	32	32	32
422450	2012-03-15 00:00:00	2012	2012	3	32	32	32
422450	2012-03-16 00:00:00	2012	2012	3	32	32	32
422450	2012-03-17 00:00:00	2012	2012	3	33	33	33
422450	2012-03-18 00:00:00	2012	2012	3	36	36	36
422450	2012-03-19 00:00:00	2012	2012	3	37	37	37
422450	2012-03-20 00:00:00	2012	2012	3	35	35	35
422450	2012-03-21 00:00:00	2012	2012	3	33	33	33
422450	2012-03-22 00:00:00	2012	2012	3	32	32	32
422450	2012-03-23 00:00:00	2012	2012	3	32	32	32
422450	2012-03-24 00:00:00	2012	2012	3	32	32	32
422450	2012-03-25 00:00:00	2012	2012	3	32	32	32
422450	2012-03-26 00:00:00	2012	2012	3	31	31	31
422450	2012-03-27 00:00:00	2012	2012	3	30	30	30
422450	2012-03-28 00:00:00	2012	2012	3	29	29	29
422450	2012-03-29 00:00:00	2012	2012	3	28	28	28
422450	2012-03-30 00:00:00	2012	2012	3	28	28	28
422450	2012-03-31 00:00:00	2012	2012	3	27	27	27
422450	2012-04-01 00:00:00	2012	2012	4	26	26	27
422450	2012-04-02 00:00:00	2012	2012	4	25	25	25
422450	2012-04-03 00:00:00	2012	2012	4	24	24	24
422450	2012-04-04 00:00:00	2012	2012	4	24	24	24
422450	2012-04-05 00:00:00	2012	2012	4	23	23	23
422450	2012-04-06 00:00:00	2012	2012	4	22	22	22
422450	2012-04-07 00:00:00	2012	2012	4	22	22	22
422450	2012-04-08 00:00:00	2012	2012	4	21	21	21
422450	2012-04-09 00:00:00	2012	2012	4	21	21	21
422450	2012-04-10 00:00:00	2012	2012	4	21	21	21
422450	2012-04-11 00:00:00	2012	2012	4	20	20	20
422450	2012-04-12 00:00:00	2012	2012	4	20	20	20
422450	2012-04-13 00:00:00	2012	2012	4	20	20	20
422450	2012-04-14 00:00:00	2012	2012	4	19	19	19
422450	2012-04-15 00:00:00	2012	2012	4	19	19	19
422450	2012-04-16 00:00:00	2012	2012	4	19	19	19
422450	2012-04-17 00:00:00	2012	2012	4	18	18	18
422450	2012-04-18 00:00:00	2012	2012	4	18	18	18
422450	2012-04-19 00:00:00	2012	2012	4	18	18	18
422450	2012-04-20 00:00:00	2012	2012	4	17	17	17
422450	2012-04-21 00:00:00	2012	2012	4	17	17	17
422450	2012-04-22 00:00:00	2012	2012	4	19	19	19
