#MESSTELLEN_NR	ZEIT	JAHR	HJAHR	MONAT	Q	Q_MIN	Q_MAX
574110	2016-10-30 00:00:00	2016	2016	10	0.002	0.002	0.002
574110	2016-10-31 00:00:00	2016	2016	10	0.002	0.002	0.002
574110	2016-11-01 00:00:00	2016	2017	11	0.001	0.001	0.001
574110	2016-11-02 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-03 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-04 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-05 00:00:00	2016	2017	11	0.01	0.01	0.056
574110	2016-11-06 00:00:00	2016	2017	11	0.006	0.006	0.006
574110	2016-11-07 00:00:00	2016	2017	11	0.008	0.008	0.008
574110	2016-11-08 00:00:00	2016	2017	11	0.01	0.01	0.01
574110	2016-11-09 00:00:00	2016	2017	11	0.006	0.006	0.006
574110	2016-11-10 00:00:00	2016	2017	11	0.018	0.018	0.018
574110	2016-11-11 00:00:00	2016	2017	11	0.014	0.014	0.014
574110	2016-11-12 00:00:00	2016	2017	11	0.008	0.008	0.008
574110	2016-11-13 00:00:00	2016	2017	11	0.004	0.004	0.004
574110	2016-11-14 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-15 00:00:00	2016	2017	11	0.001	0.001	0.001
574110	2016-11-16 00:00:00	2016	2017	11	0.006	0.006	0.006
574110	2016-11-17 00:00:00	2016	2017	11	0.006	0.006	0.006
574110	2016-11-18 00:00:00	2016	2017	11	0.01	0.01	0.01
574110	2016-11-19 00:00:00	2016	2017	11	0.01	0.01	0.01
574110	2016-11-20 00:00:00	2016	2017	11	0.006	0.006	0.006
574110	2016-11-21 00:00:00	2016	2017	11	0.004	0.004	0.004
574110	2016-11-22 00:00:00	2016	2017	11	0.004	0.004	0.004
574110	2016-11-23 00:00:00	2016	2017	11	0.004	0.004	0.004
574110	2016-11-24 00:00:00	2016	2017	11	0.004	0.004	0.004
574110	2016-11-25 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-26 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-27 00:00:00	2016	2017	11	0.002	0.002	0.002
574110	2016-11-28 00:00:00	2016	2017	11	0.001	0.001	0.001
574110	2016-11-29 00:00:00	2016	2017	11	0.001	0.001	0.001
574110	2016-11-30 00:00:00	2016	2017	11	0.001	0.001	0.001
574110	2016-12-01 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-02 00:00:00	2016	2017	12	0.006	0.006	0.006
574110	2016-12-03 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-04 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-05 00:00:00	2016	2017	12	0.001	0.001	0.001
574110	2016-12-06 00:00:00	2016	2017	12	0.001	0.001	0.001
574110	2016-12-07 00:00:00	2016	2017	12	0.001	0.001	0.001
574110	2016-12-08 00:00:00	2016	2017	12	0.001	0.001	0.001
574110	2016-12-09 00:00:00	2016	2017	12	0.001	0.001	0.001
574110	2016-12-10 00:00:00	2016	2017	12	0.001	0.001	0.001
574110	2016-12-11 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-12 00:00:00	2016	2017	12	0.006	0.006	0.006
574110	2016-12-13 00:00:00	2016	2017	12	0.008	0.008	0.008
574110	2016-12-14 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2016-12-15 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-16 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-17 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-18 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2016-12-19 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-20 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-21 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-22 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-23 00:00:00	2016	2017	12	0.002	0.002	0.002
574110	2016-12-24 00:00:00	2016	2017	12	0.006	0.006	0.006
574110	2016-12-25 00:00:00	2016	2017	12	0.006	0.006	0.006
574110	2016-12-26 00:00:00	2016	2017	12	0.008	0.008	0.028
574110	2016-12-27 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2016-12-28 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2016-12-29 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2016-12-30 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2016-12-31 00:00:00	2016	2017	12	0.004	0.004	0.004
574110	2017-01-01 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-02 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-03 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-04 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-05 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-06 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-07 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-08 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-09 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-10 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-11 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-12 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-13 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-14 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-15 00:00:00	2017	2017	1	0.002	0.002	0.002
574110	2017-01-16 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-17 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-18 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-19 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-20 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-21 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-22 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-23 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-24 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-25 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-26 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-27 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-28 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-29 00:00:00	2017	2017	1	0.006	0.006	0.006
574110	2017-01-30 00:00:00	2017	2017	1	0.012	0.012	0.012
574110	2017-01-31 00:00:00	2017	2017	1	0.02	0.02	0.068
574110	2017-02-01 00:00:00	2017	2017	2	0.02	0.02	0.02
574110	2017-02-02 00:00:00	2017	2017	2	0.02	0.02	0.02
574110	2017-02-03 00:00:00	2017	2017	2	0.02	0.02	0.02
574110	2017-02-04 00:00:00	2017	2017	2	0.022	0.022	0.022
574110	2017-02-05 00:00:00	2017	2017	2	0.022	0.022	0.022
574110	2017-02-06 00:00:00	2017	2017	2	0.024	0.024	0.024
574110	2017-02-07 00:00:00	2017	2017	2	0.024	0.024	0.024
574110	2017-02-08 00:00:00	2017	2017	2	0.018	0.018	0.018
574110	2017-02-09 00:00:00	2017	2017	2	0.016	0.016	0.016
574110	2017-02-10 00:00:00	2017	2017	2	0.016	0.016	0.016
574110	2017-02-11 00:00:00	2017	2017	2	0.016	0.016	0.016
574110	2017-02-12 00:00:00	2017	2017	2	0.014	0.014	0.014
574110	2017-02-13 00:00:00	2017	2017	2	0.012	0.012	0.012
574110	2017-02-14 00:00:00	2017	2017	2	0.01	0.01	0.01
574110	2017-02-15 00:00:00	2017	2017	2	0.012	0.012	0.012
574110	2017-02-16 00:00:00	2017	2017	2	0.012	0.012	0.012
574110	2017-02-17 00:00:00	2017	2017	2	0.014	0.014	0.014
574110	2017-02-18 00:00:00	2017	2017	2	0.016	0.016	0.016
574110	2017-02-19 00:00:00	2017	2017	2	0.02	0.02	0.02
574110	2017-02-20 00:00:00	2017	2017	2	0.026	0.026	0.026
574110	2017-02-21 00:00:00	2017	2017	2	0.04	0.04	0.04
574110	2017-02-22 00:00:00	2017	2017	2	0.04	0.04	0.04
574110	2017-02-23 00:00:00	2017	2017	2	0.26	0.26	0.446
574110	2017-02-24 00:00:00	2017	2017	2	0.214	0.214	0.214
574110	2017-02-25 00:00:00	2017	2017	2	0.068	0.068	0.068
574110	2017-02-26 00:00:00	2017	2017	2	0.056	0.056	0.056
574110	2017-02-27 00:00:00	2017	2017	2	0.044	0.044	0.044
574110	2017-02-28 00:00:00	2017	2017	2	0.094	0.094	0.094
574110	2017-03-01 00:00:00	2017	2017	3	0.192	0.192	0.192
574110	2017-03-02 00:00:00	2017	2017	3	0.286	0.286	0.286
574110	2017-03-03 00:00:00	2017	2017	3	0.154	0.154	0.154
574110	2017-03-04 00:00:00	2017	2017	3	0.084	0.084	0.084
574110	2017-03-05 00:00:00	2017	2017	3	0.062	0.062	0.062
574110	2017-03-06 00:00:00	2017	2017	3	0.076	0.076	0.076
574110	2017-03-07 00:00:00	2017	2017	3	0.084	0.084	0.084
574110	2017-03-08 00:00:00	2017	2017	3	0.12	0.12	0.754
574110	2017-03-09 00:00:00	2017	2017	3	0.314	0.314	0.314
574110	2017-03-10 00:00:00	2017	2017	3	0.172	0.172	0.172
574110	2017-03-11 00:00:00	2017	2017	3	0.106	0.106	0.106
574110	2017-03-12 00:00:00	2017	2017	3	0.076	0.076	0.076
574110	2017-03-13 00:00:00	2017	2017	3	0.062	0.062	0.062
574110	2017-03-14 00:00:00	2017	2017	3	0.04	0.04	0.04
574110	2017-03-15 00:00:00	2017	2017	3	0.04	0.04	0.04
574110	2017-03-16 00:00:00	2017	2017	3	0.036	0.036	0.036
574110	2017-03-17 00:00:00	2017	2017	3	0.034	0.034	0.034
574110	2017-03-18 00:00:00	2017	2017	3	0.056	0.056	0.056
574110	2017-03-19 00:00:00	2017	2017	3	0.05	0.05	0.05
574110	2017-03-20 00:00:00	2017	2017	3	0.044	0.044	0.044
574110	2017-03-21 00:00:00	2017	2017	3	0.04	0.04	0.04
574110	2017-03-22 00:00:00	2017	2017	3	0.04	0.04	0.04
574110	2017-03-23 00:00:00	2017	2017	3	0.036	0.036	0.036
574110	2017-03-24 00:00:00	2017	2017	3	0.032	0.032	0.032
574110	2017-03-25 00:00:00	2017	2017	3	0.032	0.032	0.032
574110	2017-03-26 00:00:00	2017	2017	3	0.032	0.032	0.032
574110	2017-03-27 00:00:00	2017	2017	3	0.03	0.03	0.03
574110	2017-03-28 00:00:00	2017	2017	3	0.028	0.028	0.028
574110	2017-03-29 00:00:00	2017	2017	3	0.026	0.026	0.026
574110	2017-03-30 00:00:00	2017	2017	3	0.024	0.024	0.024
574110	2017-03-31 00:00:00	2017	2017	3	0.024	0.024	0.024
574110	2017-04-01 00:00:00	2017	2017	4	0.026	0.026	0.026
574110	2017-04-02 00:00:00	2017	2017	4	0.024	0.024	0.024
574110	2017-04-03 00:00:00	2017	2017	4	0.024	0.024	0.024
574110	2017-04-04 00:00:00	2017	2017	4	0.022	0.022	0.022
574110	2017-04-05 00:00:00	2017	2017	4	0.022	0.022	0.022
574110	2017-04-06 00:00:00	2017	2017	4	0.02	0.02	0.02
574110	2017-04-07 00:00:00	2017	2017	4	0.02	0.02	0.02
574110	2017-04-08 00:00:00	2017	2017	4	0.02	0.02	0.02
574110	2017-04-09 00:00:00	2017	2017	4	0.02	0.02	0.02
574110	2017-04-10 00:00:00	2017	2017	4	0.02	0.02	0.02
574110	2017-04-11 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-12 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-13 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-14 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-15 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-16 00:00:00	2017	2017	4	0.02	0.02	0.02
574110	2017-04-17 00:00:00	2017	2017	4	0.022	0.022	0.044
574110	2017-04-18 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-19 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-20 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-21 00:00:00	2017	2017	4	0.016	0.016	0.016
574110	2017-04-22 00:00:00	2017	2017	4	0.018	0.018	0.018
574110	2017-04-23 00:00:00	2017	2017	4	0.016	0.016	0.016
574110	2017-04-24 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-04-25 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-04-26 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-04-27 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-04-28 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-04-29 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-04-30 00:00:00	2017	2017	4	0.014	0.014	0.014
574110	2017-05-01 00:00:00	2017	2017	5	0.016	0.016	0.016
574110	2017-05-02 00:00:00	2017	2017	5	0.026	0.026	0.084
574110	2017-05-03 00:00:00	2017	2017	5	0.016	0.016	0.016
574110	2017-05-04 00:00:00	2017	2017	5	0.014	0.014	0.014
574110	2017-05-05 00:00:00	2017	2017	5	0.014	0.014	0.014
574110	2017-05-06 00:00:00	2017	2017	5	0.012	0.012	0.012
574110	2017-05-07 00:00:00	2017	2017	5	0.012	0.012	0.012
574110	2017-05-08 00:00:00	2017	2017	5	0.012	0.012	0.012
574110	2017-05-09 00:00:00	2017	2017	5	0.012	0.012	0.012
574110	2017-05-10 00:00:00	2017	2017	5	0.01	0.01	0.01
574110	2017-05-11 00:00:00	2017	2017	5	0.01	0.01	0.01
574110	2017-05-12 00:00:00	2017	2017	5	0.01	0.01	0.01
574110	2017-05-13 00:00:00	2017	2017	5	0.012	0.012	0.012
574110	2017-05-14 00:00:00	2017	2017	5	0.016	0.016	0.016
574110	2017-05-15 00:00:00	2017	2017	5	0.012	0.012	0.012
574110	2017-05-16 00:00:00	2017	2017	5	0.008	0.008	0.008
574110	2017-05-17 00:00:00	2017	2017	5	0.004	0.004	0.004
574110	2017-05-18 00:00:00	2017	2017	5	0.004	0.004	0.004
574110	2017-05-19 00:00:00	2017	2017	5	0.01	0.01	0.01
574110	2017-05-20 00:00:00	2017	2017	5	0.008	0.008	0.008
574110	2017-05-21 00:00:00	2017	2017	5	0.006	0.006	0.006
574110	2017-05-22 00:00:00	2017	2017	5	0.006	0.006	0.006
574110	2017-05-23 00:00:00	2017	2017	5	0.006	0.006	0.006
574110	2017-05-24 00:00:00	2017	2017	5	0.006	0.006	0.006
574110	2017-05-25 00:00:00	2017	2017	5	0.006	0.006	0.006
574110	2017-05-26 00:00:00	2017	2017	5	0.004	0.004	0.004
574110	2017-05-27 00:00:00	2017	2017	5	0.004	0.004	0.004
574110	2017-05-28 00:00:00	2017	2017	5	0.004	0.004	0.004
574110	2017-05-29 00:00:00	2017	2017	5	0.002	0.002	0.002
574110	2017-05-30 00:00:00	2017	2017	5	0.002	0.002	0.002
574110	2017-05-31 00:00:00	2017	2017	5	0.002	0.002	0.002
574110	2017-06-01 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-02 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-03 00:00:00	2017	2017	6	0.01	0.01	0.01
574110	2017-06-04 00:00:00	2017	2017	6	0.022	0.022	0.022
574110	2017-06-05 00:00:00	2017	2017	6	0.008	0.008	0.008
574110	2017-06-06 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-07 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-08 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-09 00:00:00	2017	2017	6	0.01	0.01	0.214
574110	2017-06-10 00:00:00	2017	2017	6	0.01	0.01	0.01
574110	2017-06-11 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-12 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-13 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-14 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-15 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-16 00:00:00	2017	2017	6	0.01	0.01	0.01
574110	2017-06-17 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-18 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-19 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-20 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-21 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-22 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-23 00:00:00	2017	2017	6	0.008	0.008	0.008
574110	2017-06-24 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-06-25 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-26 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-27 00:00:00	2017	2017	6	0.002	0.002	0.002
574110	2017-06-28 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-29 00:00:00	2017	2017	6	0.006	0.006	0.006
574110	2017-06-30 00:00:00	2017	2017	6	0.004	0.004	0.004
574110	2017-07-01 00:00:00	2017	2017	7	0.004	0.004	0.004
574110	2017-07-02 00:00:00	2017	2017	7	0.006	0.006	0.006
574110	2017-07-03 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-04 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-05 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-06 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-07 00:00:00	2017	2017	7	0.002	0.002	0.002
574110	2017-07-08 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-09 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-10 00:00:00	2017	2017	7	0.01	0.01	0.01
574110	2017-07-11 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-12 00:00:00	2017	2017	7	0.004	0.004	0.004
574110	2017-07-13 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-14 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-15 00:00:00	2017	2017	7	0.002	0.002	0.002
574110	2017-07-16 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-17 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-18 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-19 00:00:00	2017	2017	7	0	0	0
574110	2017-07-20 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-21 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-22 00:00:00	2017	2017	7	0.001	0.001	0.001
574110	2017-07-23 00:00:00	2017	2017	7	0.002	0.002	0.002
574110	2017-07-24 00:00:00	2017	2017	7	0.006	0.006	0.006
574110	2017-07-25 00:00:00	2017	2017	7	0.062	0.062	0.376
574110	2017-07-26 00:00:00	2017	2017	7	0.05	0.05	0.05
574110	2017-07-27 00:00:00	2017	2017	7	0.02	0.02	0.02
574110	2017-07-28 00:00:00	2017	2017	7	0.014	0.014	0.014
574110	2017-07-29 00:00:00	2017	2017	7	0.008	0.008	0.008
574110	2017-07-30 00:00:00	2017	2017	7	0.004	0.004	0.004
574110	2017-07-31 00:00:00	2017	2017	7	0.002	0.002	0.002
574110	2017-08-01 00:00:00	2017	2017	8	0.006	0.006	0.006
574110	2017-08-02 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-03 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-04 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-05 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-06 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-07 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-08 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-09 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-10 00:00:00	2017	2017	8	0.012	0.012	0.344
574110	2017-08-11 00:00:00	2017	2017	8	0.044	0.044	0.044
574110	2017-08-12 00:00:00	2017	2017	8	0.026	0.026	0.026
574110	2017-08-13 00:00:00	2017	2017	8	0.022	0.022	0.022
574110	2017-08-14 00:00:00	2017	2017	8	0.014	0.014	0.014
574110	2017-08-15 00:00:00	2017	2017	8	0.014	0.014	0.014
574110	2017-08-16 00:00:00	2017	2017	8	0.018	0.018	0.018
574110	2017-08-17 00:00:00	2017	2017	8	0.014	0.014	0.014
574110	2017-08-18 00:00:00	2017	2017	8	0.012	0.012	0.012
574110	2017-08-19 00:00:00	2017	2017	8	0.01	0.01	0.01
574110	2017-08-20 00:00:00	2017	2017	8	0.008	0.008	0.008
574110	2017-08-21 00:00:00	2017	2017	8	0.006	0.006	0.006
574110	2017-08-22 00:00:00	2017	2017	8	0.006	0.006	0.006
574110	2017-08-23 00:00:00	2017	2017	8	0.004	0.004	0.004
574110	2017-08-24 00:00:00	2017	2017	8	0.004	0.004	0.004
574110	2017-08-25 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-26 00:00:00	2017	2017	8	0.014	0.014	0.014
574110	2017-08-27 00:00:00	2017	2017	8	0.004	0.004	0.004
574110	2017-08-28 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-29 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-30 00:00:00	2017	2017	8	0.002	0.002	0.002
574110	2017-08-31 00:00:00	2017	2017	8	0.004	0.004	0.004
574110	2017-09-01 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-02 00:00:00	2017	2017	9	0.004	0.004	0.004
574110	2017-09-03 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-04 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-05 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-06 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-07 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-08 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-09 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-10 00:00:00	2017	2017	9	0.001	0.001	0.001
574110	2017-09-11 00:00:00	2017	2017	9	0.001	0.001	0.001
574110	2017-09-12 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-13 00:00:00	2017	2017	9	0.006	0.006	0.006
574110	2017-09-14 00:00:00	2017	2017	9	0.006	0.006	0.006
574110	2017-09-15 00:00:00	2017	2017	9	0.01	0.01	0.01
574110	2017-09-16 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-17 00:00:00	2017	2017	9	0.004	0.004	0.004
574110	2017-09-18 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-19 00:00:00	2017	2017	9	0.001	0.001	0.001
574110	2017-09-20 00:00:00	2017	2017	9	0.001	0.001	0.001
574110	2017-09-21 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-22 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-23 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-24 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-25 00:00:00	2017	2017	9	0.004	0.004	0.004
574110	2017-09-26 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-27 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-28 00:00:00	2017	2017	9	0.002	0.002	0.002
574110	2017-09-29 00:00:00	2017	2017	9	0.001	0.001	0.001
574110	2017-09-30 00:00:00	2017	2017	9	0.002	0.002	0.136
574110	2017-10-01 00:00:00	2017	2017	10	0.012	0.012	0.012
574110	2017-10-02 00:00:00	2017	2017	10	0.006	0.006	0.006
574110	2017-10-03 00:00:00	2017	2017	10	0.018	0.018	0.018
574110	2017-10-04 00:00:00	2017	2017	10	0.008	0.008	0.008
574110	2017-10-05 00:00:00	2017	2017	10	0.024	0.024	0.024
574110	2017-10-06 00:00:00	2017	2017	10	0.018	0.018	0.018
574110	2017-10-07 00:00:00	2017	2017	10	0.016	0.016	0.016
574110	2017-10-08 00:00:00	2017	2017	10	0.036	0.036	0.036
574110	2017-10-09 00:00:00	2017	2017	10	0.026	0.026	0.026
574110	2017-10-10 00:00:00	2017	2017	10	0.024	0.024	0.024
574110	2017-10-11 00:00:00	2017	2017	10	0.02	0.02	0.02
574110	2017-10-12 00:00:00	2017	2017	10	0.018	0.018	0.018
574110	2017-10-13 00:00:00	2017	2017	10	0.016	0.016	0.016
574110	2017-10-14 00:00:00	2017	2017	10	0.014	0.014	0.014
574110	2017-10-15 00:00:00	2017	2017	10	0.014	0.014	0.014
574110	2017-10-16 00:00:00	2017	2017	10	0.012	0.012	0.012
574110	2017-10-17 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-18 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-19 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-20 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-21 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-22 00:00:00	2017	2017	10	0.016	0.016	0.016
574110	2017-10-23 00:00:00	2017	2017	10	0.012	0.012	0.012
574110	2017-10-24 00:00:00	2017	2017	10	0.012	0.012	0.012
574110	2017-10-25 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-26 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-27 00:00:00	2017	2017	10	0.012	0.012	0.012
574110	2017-10-28 00:00:00	2017	2017	10	0.01	0.01	0.01
574110	2017-10-29 00:00:00	2017	2017	10	0.036	0.036	0.172
574110	2017-10-30 00:00:00	2017	2017	10	0.026	0.026	0.026
574110	2017-10-31 00:00:00	2017	2017	10	0.022	0.022	0.022
574110	2017-11-01 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-02 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-03 00:00:00	2017	2018	11	0.022	0.022	0.022
574110	2017-11-04 00:00:00	2017	2018	11	0.02	0.02	0.02
574110	2017-11-05 00:00:00	2017	2018	11	0.028	0.028	0.028
574110	2017-11-06 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-07 00:00:00	2017	2018	11	0.022	0.022	0.022
574110	2017-11-08 00:00:00	2017	2018	11	0.022	0.022	0.022
574110	2017-11-09 00:00:00	2017	2018	11	0.022	0.022	0.022
574110	2017-11-10 00:00:00	2017	2018	11	0.026	0.026	0.026
574110	2017-11-11 00:00:00	2017	2018	11	0.032	0.032	0.032
574110	2017-11-12 00:00:00	2017	2018	11	0.03	0.03	0.03
574110	2017-11-13 00:00:00	2017	2018	11	0.03	0.03	0.03
574110	2017-11-14 00:00:00	2017	2018	11	0.028	0.028	0.028
574110	2017-11-15 00:00:00	2017	2018	11	0.026	0.026	0.026
574110	2017-11-16 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-17 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-18 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-19 00:00:00	2017	2018	11	0.024	0.024	0.024
574110	2017-11-20 00:00:00	2017	2018	11	0.03	0.03	0.03
